Iteration,Total LLM Time (ms),Total Postgres Time (ms),Relative Time
2,64490.26299999999,38012.12600000001,1.6965707995390726
3,56367.67699999999,38012.12600000001,1.4828867240943053
4,25715.120000000006,38012.12600000001,0.6764978101987771
5,24543.214000000004,38012.12600000001,0.6456680165692389
6,31545.138,38012.12600000001,0.8298703945156867
7,30323.016000000003,38012.12600000001,0.7977195487566255
8,30235.462000000003,38012.12600000001,0.7954162311258254
9,20578.793,38012.12600000001,0.5413744287809631
10,28945.681000000004,38012.12600000001,0.761485453352438
11,37977.229,38012.12600000001,0.9990819508490525
12,39016.28799999999,38012.12600000001,1.0264168860221072
13,38000.64599999999,38012.12600000001,0.9996979911094681
14,28189.787999999997,38012.12600000001,0.7415998778915968
15,19264.538999999997,38012.12600000001,0.506799830138414
16,28041.539,38012.12600000001,0.7376998329427823
17,26695.292,38012.12600000001,0.7022835818233369
18,27120.448,38012.12600000001,0.7134683285012786
19,27140.692999999996,38012.12600000001,0.7140009217058785
20,17387.755999999998,38012.12600000001,0.4574265590932744
21,17387.755999999998,38012.12600000001,0.4574265590932744
22,17387.755999999998,38012.12600000001,0.4574265590932744
23,45329.02300000001,38012.12600000001,1.1924884969601541
24,45810.76999999999,38012.12600000001,1.205162005408484
25,26140.565999999995,38012.12600000001,0.6876901860211656
26,26841.259999999995,38012.12600000001,0.7061236196049646
27,36253.299,38012.12600000001,0.9537298439976756
28,17208.907999999996,38012.12600000001,0.4527215341756994
29,17206.590999999997,38012.12600000001,0.4526605799423056
30,35821.178,38012.12600000001,0.9423618663160274
31,25999.276999999995,38012.12600000001,0.6839732405390845
32,25999.276999999995,38012.12600000001,0.6839732405390845
33,25997.294999999995,38012.12600000001,0.6839210992828969
34,36054.386999999995,38012.12600000001,0.9484969875139313
35,26586.919999999995,38012.12600000001,0.6994325968508046
36,16928.49499999999,38012.12600000001,0.4453445987209447
37,25927.18599999999,38012.12600000001,0.6820767141516889
38,16872.895999999993,38012.12600000001,0.44388193388604436
39,25913.376999999997,38012.12600000001,0.6817134353390281
40,44261.698,38012.12600000001,1.1644099569700463
41,16578.800999999996,38012.12600000001,0.43614506065774883
42,26390.048999999995,38012.12600000001,0.6942534337595321
43,35120.675,38012.12600000001,0.9239334574446058
44,26230.552999999996,38012.12600000001,0.6900575095431386
45,26421.262999999995,38012.12600000001,0.6950745927759996
46,35143.429,38012.12600000001,0.9245320559023714
47,34667.083999999995,38012.12600000001,0.9120006599999165
48,25949.36299999999,38012.12600000001,0.6826601332427442
49,16424.006999999998,38012.12600000001,0.432072833810979
50,16424.006999999998,38012.12600000001,0.432072833810979
