sql_file,min_time_idx0_ms,min_time_other_ms,performance_gain
imdbload_job30b.sql,391.3519,388.8292,0.0064
imdbload_job22a.sql,427.1281,422.0924,0.0118
imdbload_job9a.sql,169.0235,168.6873,0.002
imdbload_job2d.sql,509.5236,356.4639,0.3004
imdbload_job31b.sql,304.5776,302.5451,0.0067
imdbload_job22d.sql,692.4899,690.618,0.0027
imdbload_job16b.sql,10000,1998.8842,0.8001
imdbload_job5b.sql,106.4227,83.8022,0.2126
imdbload_job13a.sql,828.6114,661.8342,0.2013
imdbload_job7a.sql,590.6432,567.9884,0.0384
imdbload_job7c.sql,2290.467,2287.8892,0.0011
imdbload_job18c.sql,2413.2888,1520.7722,0.3698
imdbload_job22b.sql,338.083,334.1584,0.0116
imdbload_job8b.sql,128.8073,124.018,0.0372
imdbload_job17c.sql,3968.8957,1115.5372,0.7189
imdbload_job20b.sql,1222.6183,1111.8422,0.0906
imdbload_job4a.sql,115.9236,115.4706,0.0039
imdbload_job28c.sql,893.0283,657.8438,0.2634
imdbload_job23b.sql,166.6813,164.8498,0.011
imdbload_job25c.sql,3625.2737,1649.6592,0.545
imdbload_job3a.sql,154.9106,153.6255,0.0083
imdbload_job15d.sql,517.2918,514.7896,0.0048
imdbload_job20a.sql,1496.6931,1061.2326,0.2909
imdbload_job2c.sql,391.0522,203.2921,0.4801
imdbload_job13b.sql,392.0908,391.9775,0.0003
imdbload_job23a.sql,236.8057,236.1827,0.0026
imdbload_job2a.sql,391.8188,311.3401,0.2054
imdbload_job8c.sql,1703.1457,1408.4961,0.173
imdbload_job17d.sql,3866.0793,1226.6271,0.6827
imdbload_job5a.sql,105.7217,95.9964,0.092
imdbload_job6a.sql,52.3891,48.8379,0.0678
imdbload_job7b.sql,214.7667,200.5911,0.066
imdbload_job21a.sql,121.6469,120.7566,0.0073
imdbload_job32b.sql,133.7099,122.9606,0.0804
imdbload_job10b.sql,158.4046,156.1782,0.0141
imdbload_job10a.sql,226.5635,214.2472,0.0544
imdbload_job30a.sql,1204.2916,1203.65,0.0005
imdbload_job29c.sql,572.8204,478.6751,0.1644
imdbload_job22c.sql,1519.0403,1511.4017,0.005
imdbload_job14c.sql,432.3833,427.5494,0.0112
imdbload_job26a.sql,1500.0868,1437.9177,0.0414
imdbload_job17b.sql,3957.9134,2402.4935,0.393
imdbload_job3c.sql,272.9881,271.4813,0.0055
imdbload_job6f.sql,2792.9821,1394.556,0.5007
imdbload_20a_job_middle.sql,1556.8056,1080.8105,0.3058
imdbload_3a1108.sql,365.531,364.9528,0.0016
imdbload_11b1.sql,726.8989,725.9748,0.0013
imdbload_7a63.sql,3302.8071,1617.2919,0.5103
imdbload_33b_job_middle.sql,298.7182,275.0359,0.0793
imdbload_4a279.sql,288.2161,275.331,0.0447
imdbload_8a6.sql,2440.4635,2440.0458,0.0002
imdbload_2b179.sql,904.2375,902.2515,0.0022
soload_q9-003.sql,30000,8625.7055,0.7125
soload_q9-005.sql,30000,25377.8965,0.1541
soload_q7-004.sql,1853.5433,1851.4433,0.0011
soload_q5-005.sql,130.2919,120.8704,0.0723
soload_q9-008.sql,30000,26519.4671,0.116
soload_q10-005.sql,645.5746,644.1922,0.0021
soload_q10-001.sql,651.3033,650.7945,0.0008
soload_q7-001.sql,621.5196,620.2617,0.002
soload_q5-002.sql,72.8867,72.6366,0.0034
soload_q9-013.sql,30000,23854.815,0.2048
soload_q3-003.sql,1203.6855,1203.3679,0.0003
soload_q16-003.sql,637.8851,637.7909,0.0001
soload_q13-004.sql,601.7778,594.3618,0.0123
soload_q10-003.sql,642.1521,642.076,0.0001
,,,
,,,
,188542.7331,129416.0151,0.313598498
