,sql_name,postgres_time_ms,llm_time_ms,plans_equal
12,imdbload_e10a.sql,1776.79,1213.291,FALSE
19,imdbload_e10b.sql,1378.3,1031.307,FALSE
6,imdbload_e12a.sql,847.56,964.254,FALSE
18,imdbload_e1a.sql,613.414,478.714,FALSE
0,imdbload_e1b.sql,409.491,472.328,FALSE
23,imdbload_e2a.sql,227.912,585.393,FALSE
14,imdbload_e2b.sql,1173.985,1080.944,FALSE
5,imdbload_e3a.sql,226.855,335.976,FALSE
8,imdbload_e3b.sql,327.998,444.836,FALSE
20,imdbload_e6b.sql,221.468,404.734,FALSE
3,imdbload_e8b.sql,287.155,922.693,FALSE
11,imdbload_e9a.sql,828.459,1598.012,FALSE
15,imdbload_e9b.sql,4689.501,1862.478,FALSE
9,imdbload_e11a.sql,1824.445,1895.581,TRUE
4,imdbload_e11b.sql,650.764,651.127,TRUE
22,imdbload_e12b.sql,525.06,747.821,TRUE
13,imdbload_e4a.sql,427.908,423.133,TRUE
7,imdbload_e4b.sql,108.789,102.314,TRUE
1,imdbload_e5a.sql,165.224,150.328,TRUE
17,imdbload_e5b.sql,93.741,85.563,TRUE
16,imdbload_e6a.sql,267.174,260.858,TRUE
21,imdbload_e7a.sql,796.106,949.168,TRUE
2,imdbload_e7b.sql,25.714,22.598,TRUE
10,imdbload_e8a.sql,786.875,884.866,TRUE
,,,,
,,18680.688,17568.317,0.940453424
