SQL 文件,High Var 平均执行时间 (ms),Low Var 平均执行时间 (ms)
imdbload_10a1.sql,456.84999999999997,4815.7
imdbload_10a2.sql,335.65,371.59999999999997
imdbload_11a1.sql,371.90000000000003,1166.15
imdbload_11a2.sql,396.80000000000007,1291.3999999999999
imdbload_11b1.sql,310.0,589.15
imdbload_11b2.sql,180.3,1060.05
imdbload_15a_job_middle.sql,16.2,110.2
imdbload_1a796.sql,439.45,41.6
imdbload_1a807.sql,558.95,338.05
imdbload_20a_job_middle.sql,762.95,859.35
imdbload_2a404.sql,1766.65,44.7
imdbload_2a5.sql,182.7,113.44999999999999
imdbload_2b179.sql,1954.55,655.1
imdbload_2b180.sql,26.849999999999998,5628.7
imdbload_2c241.sql,68.1,85.9
imdbload_2c242.sql,57.49999999999999,55.849999999999994
imdbload_33b_job_middle.sql,43.14999999999999,45.55
imdbload_3a1092.sql,1453.0500000000002,18.8
imdbload_3a1108.sql,658.2,153.60000000000002
imdbload_3b1.sql,119.25,106.64999999999999
imdbload_3b2.sql,27.749999999999996,376.4
imdbload_4a279.sql,182.75,136.9
imdbload_4a326.sql,58.75,156.45
imdbload_5a250.sql,567.65,602.95
imdbload_5a276.sql,1637.6,206.00000000000003
imdbload_6a104.sql,180.15,516.45
imdbload_6a107.sql,876.1,663.45
imdbload_7a63.sql,290.4,2835.95
imdbload_7a64.sql,2206.0,1493.3000000000002
imdbload_8a117.sql,2323.05,2706.7000000000003
imdbload_8a6.sql,315.95,301.20000000000005
imdbload_9a1.sql,402.65000000000003,1003.4999999999999
imdbload_9a2.sql,1552.4,1026.95
imdbload_9b1.sql,115.95,272.1
imdbload_9b2.sql,151.79999999999998,216.75
