sqlid,execution_time_ms
imdbload_10a1.sql,5174.525
imdbload_10a2.sql,5192.577
imdbload_11a1.sql,1690.397
imdbload_11a2.sql,10000.0
imdbload_11b1.sql,4523.451
imdbload_11b2.sql,1827.668
imdbload_15a_job_middle.sql,111.154
imdbload_1a796.sql,791.388
imdbload_1a807.sql,1006.804
imdbload_20a_job_middle.sql,361.206
imdbload_2a404.sql,937.766
imdbload_2a5.sql,592.209
imdbload_2b179.sql,607.559
imdbload_2b180.sql,3974.166
imdbload_2c241.sql,645.367
imdbload_2c242.sql,138.278
imdbload_33b_job_middle.sql,17.607
imdbload_3a1092.sql,19.901
imdbload_3a1108.sql,269.118
imdbload_3b1.sql,2250.277
imdbload_3b2.sql,400.499
imdbload_4a279.sql,653.219
imdbload_4a326.sql,1316.866
imdbload_5a250.sql,750.987
imdbload_5a276.sql,215.57
imdbload_6a104.sql,1146.087
imdbload_6a107.sql,663.56
imdbload_7a63.sql,10000.0
imdbload_7a64.sql,3100.871
imdbload_8a117.sql,10000.0
imdbload_8a6.sql,1017.775
imdbload_9a1.sql,1297.912
imdbload_9a2.sql,1078.324
imdbload_9b1.sql,220.051
imdbload_9b2.sql,789.413
